PatientID,Diagnosis,BreedID,Breed,Age,Sex,Neutered,WeightChange,Weight,Hospitalised,HeartRate,Temperature,Vomiting,Diarrhoea,Hepatomegaly,ThinDrySkin,Alopecia,Pruritus,MuscleWastageWeakness,Lethargy,Panting,Neurological,Polydipsia,Polyuria,IncreasedALKP,IncreasedATL/GGT/AST,LowUSG,Proteinuria,Hypertensive,LowBloodSugar,Hypothyroid,CruciateSurgery
68,1,15076,Staffordshire Bull Terrier,8,M,True,False,29.4,False,92.0,39.7,False,False,True,False,False,False,False,False,True,False,False,False,True,True,,,False,False,False,False
69,1,14962,Border Terrier,8,F,True,Weight loss,10.2,False,,38.6,False,False,False,True,True,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False
70,1,99999,Crossbreed,13,M,False,False,24.8,False,,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
71,1,15086,West Highland White Terrier,10,F,True,False,7.9,False,,,False,False,False,True,True,False,False,False,False,False,False,False,,,,,False,False,False,False
72,1,15087,Yorkshire Terrier,12,F,True,False,13.85,False,,,False,False,True,True,True,False,False,False,False,False,False,False,,,,,False,False,False,False
73,1,99999,Crossbreed,9,M,False,False,23.7,False,54.0,,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
74,1,99999,Crossbreed,12,F,True,False,19.8,True,,,False,True,False,False,False,False,False,False,False,False,True,True,,,True,False,False,False,False,False
75,1,13724,Boxer,8,M,True,False,39.9,False,,,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False
76,1,99999,Crossbreed,11,M,True,Weight loss,9.0,False,,,False,False,False,False,False,False,False,False,True,False,True,True,True,,False,True,False,False,False,False
77,1,99999,Crossbreed,12,M,False,False,10.7,False,,,False,False,True,False,True,False,True,True,False,False,False,False,,,False,True,False,False,False,False
78,1,19077,Dogue de Bordeaux,8,F,True,False,40.45,False,80.0,,False,False,True,False,True,False,False,False,False,False,False,False,,,,,False,False,False,False
79,1,15076,Staffordshire Bull Terrier,8,M,True,Weight loss,,False,,,False,False,True,True,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False
80,1,99999,Crossbreed,12,F,True,False,15.7,False,,,False,False,False,False,False,False,False,False,False,False,True,True,,,True,False,False,False,False,False
81,1,15009,Jack Russell Terrier,13,M,True,False,9.3,False,,,False,False,False,False,False,False,False,False,False,False,True,True,,,True,True,False,False,False,False
82,1,14593,Poodle,14,F,True,False,6.2,True,,,False,False,False,True,False,False,False,True,False,False,True,True,True,True,,,False,False,True,False
83,1,13878,Crossbreed,8,F,False,False,11.9,True,,,False,False,True,True,True,False,False,False,True,False,True,False,True,,,,False,False,False,False
84,1,14962,Border Terrier,15,F,True,False,11.3,True,120.0,38.3,False,False,False,False,False,False,False,False,True,False,False,False,,,True,True,False,True,False,False
85,1,14844,Cavalier King Charles Spaniel,12,M,False,False,10.35,False,,38.7,False,False,False,False,False,False,False,False,False,False,True,True,,True,True,False,False,False,False,False
86,1,13683,Beagle,10,F,True,False,12.9,False,,,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False
87,1,99999,Crossbreed,16,M,False,False,11.1,False,120.0,38.7,False,False,True,False,False,False,False,False,False,False,True,True,,,,,False,False,False,False
88,1,15009,Jack Russell Terrier,9,F,True,False,10.4,False,,,False,False,True,False,False,False,False,False,False,True,True,True,True,True,,,False,False,False,False
89,1,14523,Dobermann,8,M,True,False,,False,120.0,38.6,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,False,False
90,1,13883,Collie,11,M,True,False,27.2,False,,,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False
91,1,99999,Crossbreed,9,F,False,Weight gain,12.1,False,,,False,False,True,True,False,False,False,False,False,False,False,False,,,,,False,False,False,False
92,1,14366,Crossbreed,8,F,True,Weight gain,38.4,False,80.0,39.0,False,True,True,False,True,False,False,False,False,False,True,True,True,True,,,False,False,False,False
93,1,15009,Jack Russell Terrier,12,F,True,False,,False,110.0,,False,False,True,False,False,False,True,True,True,True,True,True,,,,,False,False,False,False
94,1,15076,Staffordshire Bull Terrier,13,F,True,Weight loss,16.15,False,,38.2,False,False,False,True,True,False,True,False,False,False,False,False,,,,,False,False,False,False
95,1,99999,Crossbreed,9,F,True,Weight gain,44.8,False,,,False,False,True,True,False,False,False,False,False,False,True,True,True,True,,,False,False,False,False
96,1,,Dachshund,15,F,True,False,7.2,False,,38.2,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False
97,1,13714,Bichon Frise,11,M,True,False,9.3,False,,,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False
98,1,14887,Tibetan Spaniel,12,F,True,False,4.8,False,100.0,,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False
99,1,99999,Crossbreed,9,M,False,False,19.0,False,,,False,False,True,False,False,False,False,False,False,False,True,False,True,True,,,False,False,False,False
100,1,14593,Poodle,11,F,True,False,12.8,False,,,False,False,True,False,True,False,False,False,False,False,False,False,,,,,False,False,False,False
101,1,15045,Patterdale Terrier,12,M,True,False,15.5,False,,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
102,1,99999,Crossbreed,11,F,True,False,11.75,True,,,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True
103,1,14594,Poodle,14,F,True,False,22.6,False,,,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False
104,1,99999,Crossbreed,6,F,True,False,8.2,False,,,False,False,False,True,True,False,False,False,False,False,False,False,,,,,False,False,False,False
105,1,13714,Bichon Frise,10,F,True,False,8.2,False,96.0,38.3,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False
106,1,14918,Japanese Spitz,8,F,True,Weight loss,8.9,False,68.0,,False,False,False,True,True,False,False,True,False,False,False,False,,,,,False,False,False,False
107,1,99999,Crossbreed,15,F,True,False,,True,140.0,38.4,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,False,False,False,False
108,1,15071,Sealyham Terrier,13,M,False,False,13.5,False,,,False,False,True,False,False,False,True,False,True,False,True,True,,,,,False,False,False,False
109,1,15009,Jack Russell Terrier,13,M,True,False,,True,100.0,,False,False,False,False,False,False,False,False,False,False,True,True,True,True,,,False,False,False,False
110,1,14848,Cocker Spaniel,11,M,True,False,15.2,False,,,False,True,False,False,False,False,False,True,True,False,True,True,True,False,,,False,False,False,False
111,1,99999,Crossbreed,12,F,True,False,10.3,False,,,False,False,True,False,False,False,False,False,False,False,True,True,,,,,False,False,False,False
112,1,15076,Staffordshire Bull Terrier,14,F,False,False,22.0,False,,,False,False,False,True,False,True,False,False,False,False,True,False,True,True,True,True,False,False,False,False
113,1,15087,Yorkshire Terrier,13,F,True,False,3.85,False,112.0,38.9,False,True,True,False,True,False,False,False,True,False,False,False,,,,,False,False,False,False
114,1,14962,Border Terrier,8,F,False,False,10.1,False,,,False,False,False,False,False,False,False,False,False,False,True,True,,,True,,False,False,False,False
115,1,15086,West Highland White Terrier,12,F,True,False,7.5,False,,38.7,False,False,False,False,False,False,False,False,False,False,True,True,True,True,,,False,False,False,False
116,1,99999,Crossbreed,7,F,True,False,12.2,False,68.0,38.0,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False
117,1,15009,Jack Russell Terrier,12,M,True,Weight gain,,False,100.0,38.3,False,False,True,False,False,False,False,False,False,False,True,True,True,True,,,False,False,False,False
118,1,15087,Yorkshire Terrier,8,F,False,False,5.68,False,,,False,False,True,True,True,False,False,False,False,False,True,False,,,,,False,False,False,False
119,1,13714,Bichon Frise,9,F,True,False,10.1,False,,,False,False,True,False,False,False,False,False,False,False,True,False,,,True,True,False,False,False,False
120,1,13714,Bichon Frise,8,M,True,False,13.6,True,124.0,38.5,True,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False
121,1,15076,Staffordshire Bull Terrier,13,F,True,False,,True,130.0,38.7,False,False,True,False,False,False,True,True,True,False,True,True,,,,,False,True,False,False
122,1,14631,Labrador Retriever,11,M,True,False,37.45,False,84.0,38.3,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,,False,False,False,False
123,1,13714,Bichon Frise,10,M,False,False,11.4,False,,38.7,False,False,True,False,False,False,False,False,False,False,False,False,True,True,,,False,False,False,False
124,1,99999,Crossbreed,13,F,True,Weight loss,6.9,False,,38.6,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False
125,1,,Dachshund,3,M,False,Weight gain,6.8,False,,,False,False,True,False,True,False,False,True,False,False,False,False,,,,,False,False,False,False
126,1,14884,Springer Spaniel,8,F,True,Weight gain,25.1,False,104.0,,False,False,False,False,False,False,False,False,False,False,True,False,,,True,True,False,False,False,False
127,1,15075,Wheaten Terrier,14,F,False,False,10.5,False,,,False,False,False,False,False,False,False,False,False,False,True,True,,,True,False,False,False,False,False
128,1,99999,Crossbreed,13,F,True,False,19.6,False,136.0,,False,False,True,True,False,False,False,False,True,False,True,True,,,True,False,False,False,True,False
