"PatientID","Diagnosis","Breed","Age","Sex","Neutered","WeightChange","Weight","Hospitalised","HeartRate","Temperature","Vomiting","Diarrhoea","Hepatomegaly","ThinDrySkin","Alopecia","Pruritus","MuscleWastageWeakness","Lethargy","Panting","Neurological","Polydipsia","Polyuria","IncreasedALKP","IncreasedATL/GGT/AST","LowUSG","Proteinuria","Hypertensive","LowBloodSugar","Hypothyroid","CruciateSurgery"
37,"1","Golden Retriever",9,"M",True,"No change",57.5,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,False,False,True,False
38,"1","Yorkshire Terrier",13,"F",False,"No change",6.5,False,NULL,NULL,False,False,True,False,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
39,"1","Yorkshire Terrier",11,"F",True,"No change",NULL,False,NULL,NULL,False,False,True,True,True,False,False,False,False,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
40,"1","Shih Tzu",10,"M",True,"No change",10.1,True,NULL,NULL,False,False,False,False,False,False,False,False,False,False,False,False,"True",NULL,NULL,NULL,False,False,False,False
41,"1","Boxer",6,"M",False,"No change",NULL,False,120,NULL,False,False,True,True,True,False,False,False,False,False,True,True,"True","True",NULL,NULL,False,False,False,False
42,"1","Border Terrier",10,"F",True,"Weight loss",9.9,True,NULL,NULL,False,False,False,False,False,False,False,True,False,False,True,True,"True","True",NULL,NULL,False,True,False,False
43,"1","Akita Inu",10,"M",False,"No change",48.7,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,True,True,"True","True","True",True,False,False,False,False
44,"1","Yorkshire Terrier",11,"F",True,"No change",8.6,False,NULL,NULL,False,False,False,True,False,False,False,False,False,False,True,False,"True","True",NULL,True,False,False,False,False
45,"1","Cocker Spaniel",13,"F",True,"No change",20,True,NULL,38.3,False,False,False,True,False,False,False,False,False,False,True,True,NULL,NULL,"True",True,False,False,False,False
46,"1","Jack Russell Terrier",13,"F",True,"No change",6.15,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
47,"1","Cavalier King Charles Spaniel",11,"F",False,"No change",11.9,False,160,38.6,False,False,True,False,False,False,True,True,True,True,True,True,"True","True","True",False,False,False,False,False
48,"1","Jack Russell Terrier",11,"F",True,"No change",8,False,80,NULL,False,False,True,False,False,False,False,False,False,False,True,True,"True","True","True",True,False,False,False,False
49,"1","Jack Russell Terrier",10,"M",False,"Weight gain",16.2,False,NULL,NULL,False,False,True,True,False,False,False,False,False,False,True,True,"True","True",NULL,NULL,False,False,True,False
